city_name,city_id,lat,lon,unix_dt,temp_max_c,temp_max_f,humidity,cloudiness,windspeed
Chinu,3686540,9.11,-75.4,1579899209,32.0,89.6,59,40,4.1
George Town,1735106,5.41,100.34,1579899209,27.0,80.6,69,20,2.1
Tymovskoye,2120334,50.85,142.66,1579899209,-19.22,-2.5959999999999965,97,100,2.45
Mehamn,778707,71.04,27.85,1579899209,-6.0,21.2,79,92,5.1
Hammerfest,779683,70.66,23.68,1579899209,-1.0,30.2,92,90,7.2
Yilan,1674199,24.76,121.75,1579899210,20.56,69.008,100,75,8.2
Mbanza-Ngungu,2312888,-5.25,14.87,1579899210,21.13,70.03399999999999,94,86,1.05
Khatanga,2022572,71.97,102.5,1579899210,-32.1,-25.78,89,81,3.91
Qui Nhon,1568574,13.77,109.23,1579899210,20.92,69.656,85,100,1.42
Kalang,1957866,5.92,121.36,1579899211,27.59,81.662,79,100,2.83
Codrington,2171099,-38.27,141.97,1579899211,15.9,60.620000000000005,88,67,7.52
Vestmannaeyjar,3412093,63.44,-20.27,1579899211,1.7,35.06,90,100,11.03
Talcahuano,3870282,-36.72,-73.12,1579898640,24.0,75.2,50,0,8.2
Pori,641000,61.48,21.78,1579899211,4.0,39.2,60,77,8.2
Sistranda,3139597,63.73,8.83,1579899211,2.0,35.6,80,75,15.9
Labuhan,8079926,-6.88,112.21,1579899211,24.47,76.04599999999999,88,39,1.0
Severo-Kuril'sk,2121385,50.68,156.12,1579899204,-9.78,14.396,88,77,13.68
Cancun,3531673,21.17,-86.85,1579898608,25.0,77.0,69,75,2.6
Staropesterevo,1490966,54.5,86.41,1579899212,-4.04,24.728,81,100,3.96
San Luis,3837056,-33.3,-66.34,1579898562,37.04,98.672,20,1,0.09
Hrubieszow,770966,50.8,23.89,1579899212,-0.35,31.37,74,73,5.57
Walvis Bay,3359638,-22.96,14.51,1579899212,19.44,66.992,88,0,3.1
Manggar,1636426,-2.88,108.27,1579899212,27.59,81.662,82,100,7.69
Ponta do Sol,2264557,32.67,-17.1,1579898633,15.0,59.0,62,40,2.1
Torbay,6167817,47.67,-52.73,1579899006,-1.67,28.994,68,75,5.7
Yining,1786538,29.04,114.56,1579899213,5.71,42.278,96,100,1.44
Vila Velha,3445026,-20.33,-40.29,1579899213,25.56,78.008,94,90,6.7
Pacific Grove,5380437,36.62,-121.92,1579899213,18.89,66.00200000000001,72,1,2.1
Man,2284647,7.41,-7.55,1579899213,24.5,76.1,18,0,1.02
Develi,316795,38.39,35.49,1579899213,-8.0,17.6,78,20,1.95
Coquimbo,3893629,-29.95,-71.34,1579899213,24.0,75.2,57,1,6.2
Bengkulu,1649150,-3.8,102.27,1579899214,23.4,74.12,96,100,2.2
Vikhorevka,2013399,56.12,101.16,1579899214,-8.0,17.6,67,100,3.0
Geraldton,2070998,-28.77,114.6,1579899214,17.0,62.6,72,33,4.1
Port Hardy,6111862,50.7,-127.42,1579899214,8.0,46.4,100,75,1.0
Innisfail,2162683,-17.53,146.03,1579898972,24.11,75.398,90,100,1.92
Nome,5870133,64.5,-165.41,1579899214,-28.0,-18.4,75,1,2.67
Fredericton,5957776,45.95,-66.67,1579899214,0.0,32.0,89,1,2.1
Caconda,3351380,-13.73,15.07,1579899215,17.79,64.02199999999999,95,100,1.41
Palu,1633034,-0.89,119.87,1579899215,18.9,66.02,91,92,0.98
Rome,4219762,34.26,-85.16,1579899154,14.44,57.992000000000004,76,75,4.6
