city_name,city_id,lat,lon,unix_dt,temp_max,humidity,cloudiness,windspeed
La Ronge,6050066,55.1,-105.28,1579823989,-6.0,85,90,2.6
Nome,5870133,64.5,-165.41,1579824042,-19.44,76,1,2.12
Boyuibe,3923015,-20.42,-63.28,1579824042,29.0,42,20,2.56
Sao Miguel do Araguaia,3448455,-13.28,-50.16,1579824042,22.7,98,96,3.63
Muravlenko,1540711,63.79,74.52,1579824042,-9.03,95,100,4.32
Montepuez,1037125,-13.13,39.0,1579824042,20.71,97,74,1.36
Erenhot,2037485,43.65,111.98,1579824042,-12.69,83,0,2.5
Hibbing,5030005,47.43,-92.94,1579824042,-3.0,86,90,3.1
Hermanus,3366880,-34.42,19.23,1579823969,20.0,82,50,5.36
San Patricio,3985168,19.22,-104.7,1579824043,29.0,70,75,3.09
Brandon,4148757,27.94,-82.29,1579824008,20.0,88,90,4.6
La Sarre,6050194,48.8,-79.2,1579824043,-14.04,96,92,2.26
Luderitz,3355672,-26.65,15.16,1579824043,19.0,88,0,1.01
Watertown,4954611,42.37,-71.18,1579824043,3.0,55,1,2.13
Tessalit,2449893,20.2,1.01,1579824043,22.12,15,52,3.56
Coquimbo,3893629,-29.95,-71.34,1579824043,21.0,64,38,5.1
Zhangjiakou Shi Xuanhua Qu,2033574,40.61,115.04,1579824044,-9.4,74,4,0.58
Flinders,6255012,-34.58,150.86,1579823819,26.11,64,75,6.2
Sao Filipe,3374210,14.9,-24.5,1579823762,21.98,74,1,3.92
Nuuk,3421319,64.18,-51.72,1579824044,-3.0,86,100,21.6
Provincia di Imperia,3175531,43.97,7.78,1579824044,11.11,71,17,4.1
Haines Junction,5969025,60.75,-137.51,1579824011,-17.57,97,100,2.19
Coos Bay,5720495,43.37,-124.22,1579824044,15.0,93,90,1.5
Bengkulu,1649150,-3.8,102.27,1579824044,23.65,92,66,1.66
High Rock,3572189,26.62,-78.28,1579824045,21.0,77,20,4.1
Minot,5690532,48.23,-101.3,1579824045,-5.0,85,90,2.1
Lubango,3347762,-14.92,13.49,1579824045,17.87,86,100,0.66
San Cristobal,3628473,7.77,-72.22,1579824045,28.0,69,40,1.5
Saldanha,3361934,-33.01,17.94,1579824045,23.0,53,19,1.5
Chokurdakh,2126123,70.63,147.92,1579824045,-35.99,93,15,3.75
Sobolevo,525426,54.43,31.9,1579824045,-1.35,86,100,4.94
Hwange,889942,-18.37,26.5,1579824046,21.42,75,100,1.33
Barrow,5880054,71.29,-156.79,1579824046,-24.0,69,90,5.1
Saskylakh,2017155,71.92,114.08,1579823989,-37.98,95,45,5.64
Karlovasi,256492,37.79,26.7,1579824046,7.0,47,0,7.7
Clyde River,5924351,70.47,-68.59,1579824046,-29.0,75,5,7.7
Airai,1651810,-8.93,125.41,1579824046,24.43,67,48,0.75
Savelugu,2295517,9.62,-0.83,1579824046,26.9,11,8,4.14
Mount Gambier,2156643,-37.83,140.77,1579823977,17.0,72,90,5.7
Dikson,1507390,73.51,80.55,1579823971,-23.48,96,100,5.56
Araxa,3471691,-19.59,-46.94,1579824039,21.0,94,40,3.6
Tilichiki,2120591,60.47,166.1,1579824047,-26.64,90,100,5.45
Tarauaca,3661980,-8.16,-70.77,1579824047,24.62,93,94,0.85
Thompson,6165406,55.74,-97.86,1579823801,-13.0,78,40,1.5
Amazar,2027806,53.86,120.88,1579824047,-31.24,81,15,1.16
Lorengau,2092164,-2.02,147.27,1579824047,28.71,69,53,3.37
George Town,1735106,5.41,100.34,1579824047,27.0,74,20,3.1
Phan Thiet,1571058,10.93,108.1,1579824047,20.6,66,74,1.75
Faanui,4034551,-16.48,-151.75,1579824048,27.97,74,15,3.41
Paratinga,3455029,-12.69,-43.18,1579824048,19.77,98,100,1.22
Arlit,2447513,18.74,7.39,1579824048,20.6,13,24,6.16
Esna,355449,25.29,32.55,1579824048,9.0,76,0,1.5
Baykit,1510689,61.67,96.37,1579824048,-22.49,98,99,0.89
Kota Belud,1736660,6.35,116.43,1579824048,24.0,73,75,3.1
Kadaya,2023324,50.93,119.29,1579824049,-31.17,86,0,1.57
Mancio Lima,3663516,-7.61,-72.9,1579824049,23.0,100,90,0.95
Umm Lajj,100926,25.02,37.27,1579824049,11.74,44,0,2.85
Cockburn Town,3576994,21.46,-71.14,1579824049,23.85,62,0,4.79
Thunder Bay,6166142,48.4,-89.32,1579824049,-6.0,73,90,2.6
Lochgilphead,2643825,56.04,-5.43,1579824049,9.44,93,90,6.2
Cabo San Lucas,3985710,22.89,-109.91,1579823855,22.78,60,20,6.2
Cilegon,1627549,-6.02,106.05,1579824049,27.0,83,40,1.5
Usinsk,863061,65.99,57.53,1579824050,-14.5,95,88,2.56
Lushun,1801722,38.8,121.27,1579824050,-5.0,62,85,2.0
Gao,2457161,16.64,1.64,1579824050,22.33,13,96,4.86
Waingapu,1622318,-9.66,120.26,1579823936,28.04,73,32,3.11
Ostrovnoy,556268,68.05,39.51,1579823978,-13.23,94,100,3.95
Tenenkou,2449938,14.46,-4.92,1579824050,26.77,12,98,4.98
Severo-Kuril'sk,2121385,50.68,156.12,1579824050,-8.32,82,82,3.71
Thinadhoo,1337610,0.53,72.93,1579823844,28.83,79,51,7.23
Riyadh,108410,24.69,46.72,1579823829,7.0,52,0,4.1
Kodinsk,1503037,58.69,99.18,1579824051,-17.29,98,98,2.14
Samarai,2132606,-10.62,150.67,1579824013,31.58,56,65,0.83
Hofn,2630299,64.25,-15.21,1579824014,1.8,59,69,18.65
Harindanga,1349090,22.04,88.32,1579824051,15.0,93,40,3.9
Kathu,1153035,7.92,98.33,1579824051,23.0,88,20,1.5
Imbituba,3461370,-28.24,-48.67,1579823951,22.0,94,75,4.6
Vila,7117100,42.03,-8.16,1579824051,11.67,62,75,2.1
Isangel,2136825,-19.55,169.27,1579823886,29.0,70,20,6.2
Hay River,5972762,60.82,-115.8,1579824016,-13.0,92,90,4.6
Calabozo,3647444,8.92,-67.43,1579824052,30.5,36,14,2.58
Yarim,69559,14.3,44.38,1579824052,10.89,87,2,0.97
Monrovia,2274895,6.3,-10.8,1579823976,25.0,94,40,4.01
Tazovsky,1489853,67.47,78.7,1579824052,-14.69,94,100,6.5
Alofi,4036284,-19.06,-169.92,1579824052,30.0,70,75,8.2
Khatanga,2022572,71.97,102.5,1579824052,-30.96,88,100,4.07
Aykhal,2027296,66.0,111.5,1579824052,-39.0,65,75,3.0
Belmonte,3470137,-15.86,-38.88,1579823971,25.0,83,75,4.1
Khanbari,1283217,27.37,87.2,1579823957,-2.52,57,7,1.08
Poum,2138555,-20.23,164.02,1579824052,26.12,78,39,9.1
Bhinmal,1275920,25.0,72.25,1579824053,9.9,46,6,1.86
Moa,3546791,20.66,-74.94,1579824053,15.18,95,17,0.8
Sur,286245,22.57,59.53,1579824053,18.56,78,1,3.32
Mahibadhoo,1337605,3.78,72.97,1579824053,28.34,81,51,8.85
Souillac,933995,-20.52,57.52,1579824053,26.67,94,75,5.67
Spineni,666360,44.7,24.57,1579824053,-6.0,92,36,2.1
Huntsville,4068590,34.73,-86.59,1579823918,8.0,93,90,5.7
Piacabucu,3454005,-10.41,-36.43,1579824054,26.65,84,98,4.57
Tabuk,1684803,17.42,121.44,1579824029,20.25,82,10,0.6
Ormara,1168700,25.21,64.64,1579824054,21.27,53,31,2.69
High Level,5975004,58.52,-117.14,1579824054,-5.0,100,90,4.6
Saint George,5546220,37.1,-113.58,1579824007,15.0,44,1,0.38
Yatou,1786855,37.15,122.38,1579824054,3.09,58,51,9.93
Virbhadra,1270351,30.07,78.28,1579824054,4.36,52,14,2.6
Kenai,5866063,60.55,-151.26,1579824054,-8.33,84,1,1.73
Ugoofaaru,1337619,5.67,73.0,1579824054,28.62,77,77,10.5
Lavrentiya,4031637,65.58,-171.0,1579824055,-25.9,85,30,0.48
Margate,2643044,51.38,1.39,1579824055,7.22,93,90,0.5
Port Blair,1259385,11.67,92.75,1579824055,26.56,76,38,5.8
Itarema,3393692,-2.92,-39.92,1579824013,25.43,90,95,1.96
Tura,1254046,25.52,90.22,1579823821,11.24,68,0,1.24
Tete,1026014,-16.16,33.59,1579824055,21.36,97,100,1.67
Taoudenni,2450173,22.68,-3.98,1579824055,20.34,22,100,3.51
Dourados,3464460,-22.22,-54.81,1579824055,21.7,86,98,4.53
Northam,2641434,51.03,-4.22,1579824056,6.11,100,90,1.5
Laas,3175096,46.62,10.7,1579824056,0.56,79,5,1.5
Banda Aceh,1215502,5.56,95.32,1579823967,22.68,90,34,2.68
Touros,3386213,-5.2,-35.46,1579824056,28.0,78,40,3.6
Bembereke,2395182,10.23,2.66,1579824056,22.56,12,0,3.77
Atasu,1526041,48.68,71.64,1579824056,-3.48,81,100,6.45
Padang,1633419,-0.95,100.35,1579824056,20.73,93,17,2.1
Longyearbyen,2729907,78.22,15.64,1579824056,-14.0,71,40,18.0
Simbahan,1695180,6.3,120.58,1579824056,27.43,81,45,6.04
Bosaso,64013,11.28,49.18,1579824057,24.67,80,93,3.41
Obo,236950,5.4,26.49,1579824057,17.95,21,100,2.94
San Policarpo,1688696,12.18,125.51,1579824057,26.8,86,66,7.6
Molde,3145580,62.74,7.16,1579824057,6.0,75,100,6.7
Artyom,587207,40.47,50.33,1579824057,7.0,87,90,6.2
Qaqortoq,3420846,60.72,-46.03,1579823958,-5.0,62,100,5.7
Krasnyy Kholm,541704,58.06,37.12,1579824057,-5.15,85,83,3.96
Harper,2276492,4.38,-7.72,1579824025,25.71,91,42,1.3
Harrismith,997751,-28.27,29.13,1579824057,12.62,98,100,1.99
Cherskiy,2126199,68.75,161.3,1579824058,-39.11,93,43,1.49
Coruripe,3465329,-10.13,-36.18,1579824058,27.43,80,96,6.69
Meulaboh,1214488,4.14,96.13,1579824058,27.37,82,24,4.23
Nemencine,596664,54.85,25.48,1579824058,0.56,89,90,7.2
Kudat,1736458,6.88,116.85,1579824058,27.0,83,75,3.6
Agadez,2448083,19.75,10.25,1579824058,15.17,18,1,2.02
Ribeira Grande,3372707,38.52,-28.7,1579823834,11.77,73,69,3.85
Inuvik,5983607,68.35,-133.72,1579824058,-24.0,83,90,1.0
Santa Maria,3450083,-29.68,-53.81,1579824058,23.0,78,5,2.6
Pevek,2122090,69.7,170.31,1579823990,-33.33,99,99,2.67
Brigantine,4500920,39.41,-74.36,1579824059,3.89,69,1,0.88
Gambo,239300,4.65,22.26,1579824059,19.15,27,68,2.18
Charters Towers,2171722,-20.1,146.27,1579824059,29.56,63,97,2.47
Ekhabi,2122614,53.51,142.97,1579824059,-20.96,93,87,1.53
Goderich,5962442,43.75,-81.72,1579824059,1.67,92,100,0.45
Kampong Cham,1831173,11.99,105.46,1579824021,21.12,89,100,1.51
Beringovskiy,2126710,63.05,179.32,1579823865,-16.44,96,100,4.28
Areosa,2742765,41.72,-8.86,1579824059,11.67,81,20,3.6
Quatre Cocos,1106643,-20.21,57.76,1579824060,26.67,94,75,10.51
Olafsvik,3414079,64.89,-23.71,1579823996,-0.64,64,100,18.24
Ambatondrazaka,1082639,-17.83,48.42,1579824060,16.68,96,100,1.01
Kirkenes,779303,69.73,30.05,1579824060,-7.0,92,90,10.8
Nyurba,2018735,63.28,118.33,1579823983,-43.82,97,43,1.11
Moranbah,6533368,-22.0,148.05,1579824060,29.41,60,100,2.71
Pringsewu,1630639,-5.36,104.97,1579824060,23.06,95,100,1.06
Dutlwe,933787,-23.98,23.9,1579824060,23.34,46,65,4.76
Beloha,1067565,-25.17,45.05,1579824060,20.1,85,6,4.72
Tchibanga,2396253,-2.85,11.03,1579824060,23.56,93,100,0.91
Kruisfontein,986717,-34.0,24.73,1579824061,16.84,88,2,4.24
Verkhnyaya Inta,1487332,65.98,60.31,1579824061,-14.23,96,100,1.32
Santo Antonio do Leverger,3449502,-15.87,-56.08,1579824061,28.0,78,40,3.6
Bay Roberts,5895424,47.6,-53.26,1579824061,-2.78,79,90,6.2
Bambous Virieux,1106677,-20.34,57.76,1579824061,26.67,94,75,6.62
Kuytun,2021093,54.34,101.5,1579824061,-19.33,92,92,2.7
Vigrestad,3131824,58.57,5.7,1579824061,8.0,93,75,6.2
Tomatlan,3981391,19.93,-105.25,1579824061,23.73,65,100,2.37
Patitiri,255689,39.15,23.87,1579824061,5.56,74,81,0.89
Roald,3141667,62.58,6.13,1579824062,6.0,70,95,10.3
Tuatapere,2180815,-46.13,167.68,1579823982,26.67,50,82,2.24
Resistencia,3429577,-27.46,-58.98,1579824062,27.0,74,32,2.1
Pocatello,5604045,42.87,-112.45,1579824062,2.22,80,90,1.5
Esso,2125711,55.93,158.7,1579824062,-21.38,90,0,1.93
Kismayo,55671,-0.36,42.55,1579824062,27.02,88,100,7.58
Mapiri,3910758,-15.25,-68.17,1579824063,20.37,79,100,0.94
Fafe,2739788,41.45,-8.17,1579824063,10.0,81,20,3.6
Katsuura,2112309,35.13,140.3,1579824063,11.11,81,75,2.6
Nauta,3692020,-4.51,-73.58,1579824063,25.56,90,69,1.95
Ciudad Lazaro Cardenas,4026082,17.96,-102.2,1579824011,26.34,68,97,2.97
Dzhubga,563601,44.32,38.7,1579824063,-2.02,84,22,1.29
Klaksvik,2618795,62.23,-6.59,1579823847,3.0,69,52,12.9
Orange Cove,5379533,36.62,-119.31,1579824063,18.33,72,1,1.4
Okhotsk,2122605,59.38,143.3,1579824064,-29.09,90,89,1.93
Constitucion,3893726,-35.33,-72.42,1579824064,14.84,93,99,2.23
Kevermes,719093,46.42,21.18,1579824064,-3.89,100,19,3.1
Yar-Sale,1486321,66.83,70.83,1579824064,-11.91,95,100,3.88
Motala,2690960,58.54,15.04,1579824064,8.0,81,96,8.2
Opuwo,3354077,-18.06,13.84,1579824046,23.0,38,99,3.76
Guasdualito,3804949,7.24,-70.73,1579824064,31.0,58,40,2.03
Pingdingshan,1798827,33.74,113.3,1579824065,5.0,72,100,4.33
Villa Carlos Paz,3832791,-31.42,-64.5,1579824065,27.78,61,0,5.1
Vanavara,2013727,60.34,102.28,1579824065,-23.41,99,100,2.09
Russell,4047434,32.35,-85.2,1579824065,11.0,81,90,2.6
Sutton Coldfield,2636486,52.57,-1.82,1579824036,6.67,100,90,1.5
Yangi Marg`ilon,1513491,40.43,71.72,1579824065,-4.0,92,90,2.1
Woodstock,6184365,43.13,-80.75,1579824021,1.11,69,90,3.6
Carballo,3126369,43.21,-8.69,1579824065,6.67,100,100,1.0
Bahar,142000,34.91,48.44,1579824065,-2.15,74,0,2.78
San Angelo,5530022,31.46,-100.44,1579824029,16.0,38,1,4.6
Kapoeta,372884,4.77,33.59,1579824066,24.16,20,83,2.1
Coffeyville,4269789,37.04,-95.62,1579824066,7.0,81,90,5.1
Grand Gaube,934479,-20.01,57.66,1579824066,26.67,94,75,8.68
Suhl,2824948,50.6,10.7,1579824066,-2.22,92,0,4.1
Muros,3115824,42.78,-9.06,1579824018,11.67,86,95,2.1
Cariati,2525352,39.49,16.96,1579824066,5.56,94,0,2.59
Nguruka,151567,-5.11,31.04,1579824067,18.81,93,100,0.78
Pochutla,3517970,15.74,-96.47,1579824067,27.0,83,90,4.32
Ginir,336454,7.13,40.7,1579824067,17.18,45,100,1.15
Bani,3512067,18.28,-70.33,1579824067,25.0,83,40,1.17
Talnakh,1490256,69.49,88.4,1579824067,-18.0,77,20,8.0
Yinchuan,1786657,38.47,106.27,1579824067,-5.36,70,95,1.02
Omboue,2396853,-1.57,9.26,1579824067,24.71,95,100,1.15
Matagami,6067747,49.75,-77.63,1579824067,-10.0,85,90,2.1
Iralaya,3608828,15.0,-83.23,1579824067,25.0,88,10,3.1
Ixtapa,4004293,20.7,-105.2,1579824068,26.0,69,20,3.1
Vila Franca do Campo,3372472,37.72,-25.43,1579824068,12.0,87,40,2.6
Dudinka,1507116,69.41,86.18,1579824068,-18.0,77,20,8.0
Livingston,2644204,55.9,-3.52,1579824068,8.0,87,75,7.7
San Quintin,3984997,30.48,-115.95,1579824068,16.42,72,0,3.57
Flin Flon,5954718,54.77,-101.86,1579824068,-10.0,92,20,1.0
Asau,686090,46.43,26.4,1579824068,-2.78,85,0,1.0
Peniche,2264923,39.36,-9.38,1579824068,9.44,100,40,2.1
Pangnirtung,6096551,66.15,-65.71,1579823890,-31.0,67,20,1.3
Bayir,304183,37.27,28.22,1579824068,7.0,28,0,6.7
Gari,1506676,59.43,62.35,1579824069,-14.13,93,100,3.26
Yueyang,1927639,29.33,113.09,1579824069,7.31,94,100,5.75
Port-Cartier,6111696,50.03,-66.87,1579824069,-1.0,80,90,4.1
Ayr,2656708,55.46,-4.63,1579824069,8.0,93,20,5.7
Alekseyevka,582956,50.63,38.69,1579824069,-7.02,86,48,4.48
Puerto Ayacucho,3629710,5.66,-67.62,1579824069,33.0,49,53,3.1
Ranir Bazar,1258447,23.83,91.37,1579824069,10.86,69,83,0.72
Ankara,323786,39.92,32.85,1579823988,-2.0,73,40,1.0
Vega de Alatorre,3514843,20.03,-96.63,1579824070,22.93,78,83,2.71
Bolgatanga,2302821,10.79,-0.85,1579824070,24.73,11,18,5.09
Ilhabela,3461425,-23.78,-45.36,1579824070,22.5,78,100,0.28
Vardo,777019,70.37,31.11,1579823977,-7.0,92,90,4.1
Plouzane,2986626,48.38,-4.62,1579824070,5.56,93,34,3.6
Sechura,3691954,-5.56,-80.82,1579824070,22.59,87,0,6.34
Buala,2109528,-8.14,159.59,1579824070,30.08,63,0,2.8
Mehamn,778707,71.04,27.85,1579824070,-6.0,85,75,8.2
Fortuna,5563839,40.6,-124.16,1579824046,15.56,82,90,2.1
Krasnoborsk,542423,61.56,45.93,1579824071,-8.51,94,97,3.54
Peace River,6100069,56.25,-117.29,1579823926,-2.0,74,90,3.6
Poshekhonye,506029,58.5,39.14,1579824071,-5.53,70,57,4.46
Lompoc,5367788,34.64,-120.46,1579824045,22.0,46,1,3.6
Esim,2303611,4.87,-2.24,1579824071,26.2,87,80,1.54
Guerrero Negro,4021858,27.98,-114.06,1579824071,20.67,48,0,5.05
Wasilla,5877641,61.58,-149.44,1579824071,-12.0,84,1,1.26
Yuci,1785974,37.68,112.73,1579823936,-1.0,54,98,5.0
Lewiston,4969398,44.1,-70.21,1579824072,1.0,73,1,0.43
Amarpur,1278895,25.03,86.9,1579824072,10.86,69,80,3.54
West Wendover,5710035,40.74,-114.07,1579824072,8.0,61,1,2.6
